A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,Aminotran_4,O14370,nD1,4.3.1.27,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42)",eca39 SPBC428.02c SPBC582.12c,427,O14370_F1,AFDB,4020.1.1,4020.1.1.1,3739612,58-225
a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,Aminotran_4,O14370,nD1,4.3.1.27,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42)",eca39 SPBC428.02c SPBC582.12c,427,O14370_F1,AFDB,4020.1.1,4020.1.1.1,3739612,58-225
alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,PAP2,O14494,nD1,4.3.1.27,Homo sapiens (Human),Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a),PLPP1 LPP1 PPAP2A,284,O14494_F1,AFDB,180.1.1,180.1.1.1,3526556,11-250
alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,PAP2,O14495,nD1,4.3.1.27,Homo sapiens (Human),Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP),PLPP3 LPP3 PPAP2B,311,O14495_F1,AFDB,180.1.1,180.1.1.1,3526470,31-280
beta sandwiches,jelly-roll,Concanavalin A-like,Concanavalin A-like lectins/glucanases,MAM,O14522,nD1,4.3.1.27,Homo sapiens (Human),Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),PTPRT KIAA0283,1441,O14522_F1,AFDB,10.1.1,10.1.1.10,3557385,31-190
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,O14595,nD1,4.3.1.27,Homo sapiens (Human),Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 2) (NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2) (SCP2),CTDSP2 NIF2 OS4 SCP2,271,O14595_F1,AFDB,2006.1.1,2006.1.1.4,3564472,73-265
alpha superhelices,Cytochrome c oxidase subunit I-like,MAPEG domain-like,MAPEG domain-like,MAPEG,O14684,nD1,4.3.1.27,Homo sapiens (Human),Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein),PTGES MGST1L1 MPGES1 PGES PIG12,152,O14684_F1,AFDB,5038.2.1,5038.2.1.1,3557497,1-150
a+b two layers,a+b domain in carbohydrate phosphatases,a+b domain in carbohydrate phosphatases,a+b domain in carbohydrate phosphatases,Inositol_P,O14732,nD1,4.3.1.27,Homo sapiens (Human),Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2),IMPA2 IMP.18P,288,O14732_F1,AFDB,4018.1.1,4018.1.1.2,3556431,6-155
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,"Metallophos,PPP5",O14829,nD2,4.3.1.27,Homo sapiens (Human),Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7),PPEF1 PPEF PPP7C,653,O14829_F1,AFDB,246.2.1,246.2.1.2,3559574,"101-305,351-465"
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,"Metallophos,PPP5",O14830,nD2,4.3.1.27,Homo sapiens (Human),Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16),PPEF2,753,O14830_F1,AFDB,246.2.1,246.2.1.2,3533706,"106-320,436-540"
alpha superhelices,Cytochrome c oxidase subunit I-like,MAPEG domain-like,MAPEG domain-like,MAPEG,O14880,nD1,4.3.1.27,Homo sapiens (Human),"Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",MGST3,152,O14880_F1,AFDB,5038.2.1,5038.2.1.1,3542442,6-145
a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Syja_N,O15056,nD1,4.3.1.27,Homo sapiens (Human),"Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)",SYNJ2 KIAA0348,1496,O15056_F1,AFDB,3257.1.1,3257.1.1.1,3532027,"6-180,476-485"
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,O15194,nD1,4.3.1.27,Homo sapiens (Human),CTD small phosphatase-like protein (CTDSP-like) (EC 3.1.3.16) (Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3) (NIF-like protein) (Nuclear LIM interactor-interacting factor 1) (NLI-interacting factor 1) (Protein YA22) (hYA22) (RBSP3) (Small C-terminal domain phosphatase 3) (SCP3) (Small CTD phosphatase 3),CTDSPL C3orf8 NIF1 NIFL SCP3 YA22,276,O15194_F1,AFDB,2006.1.1,2006.1.1.4,3522081,96-270
alpha superhelices,Repetitive alpha hairpins,Glutathione S-transferase (GST)-C,Glutathione S-transferase (GST)-C,,O15217,nD1,4.3.1.27,Homo sapiens (Human),Glutathione S-transferase A4 (EC 2.5.1.18) (GST class-alpha member 4) (Glutathione S-transferase A4-4),GSTA4,222,O15217_F1,AFDB,109.1.1,NO_F_GROUP,3552029,6-220
a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C,O15297,nD1,4.3.1.27,Homo sapiens (Human),Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1),PPM1D WIP1,605,O15297_F1,AFDB,210.2.1,210.2.1.1,3543487,"1-35,71-380"
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,PMM,O15305,nD1,4.3.1.27,Homo sapiens (Human),Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8),PMM2,246,O15305_F1,AFDB,2006.1.1,2006.1.1.5,3557083,"6-85,186-245"
beta sandwiches,Immunoglobulin-like beta-sandwich,C2 domain,C2 domain,,O15327,nD1,4.3.1.27,Homo sapiens (Human),"Inositol polyphosphate 4-phosphatase type II (Type II inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)",INPP4B,924,O15327_F1,AFDB,11.2.1,NO_F_GROUP,3528443,36-185
a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C,O15355,nD1,4.3.1.27,Homo sapiens (Human),Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,546,O15355_F1,AFDB,210.2.1,210.2.1.1,3523028,"1-115,321-510"
a+b two layers,SH2,SH2,SH2,SH2,O15357,nD1,4.3.1.27,Homo sapiens (Human),"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)",INPPL1 SHIP2,1258,O15357_F1,AFDB,214.1.1,214.1.1.1,3556535,16-120
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Arginase/deacetylase,Hist_deacetyl,O15379,nD1,4.3.1.27,Homo sapiens (Human),Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-) (RPD3-2) (SMAP45),HDAC3,428,O15379_F1,AFDB,2006.1.5,2006.1.5.2,3554534,1-370
a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,Aminotran_4,O15382,nD1,4.3.1.27,Homo sapiens (Human),"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)",BCAT2 BCATM BCT2 ECA40,392,O15382_F1,AFDB,4020.1.1,4020.1.1.1,3550242,31-200
a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,Aminotran_4,O15382,nD1,4.3.1.27,Homo sapiens (Human),"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)",BCAT2 BCATM BCT2 ECA40,392,O15382_F1,AFDB,4020.1.1,4020.1.1.1,3550242,31-200
few secondary structure elements,"Phospholipase A2, PLA2","Phospholipase A2, PLA2","Phospholipase A2, PLA2",Phospholip_A2_1,O15496,nD1,4.3.1.27,Homo sapiens (Human),Group 10 secretory phospholipase A2 (EC 3.1.1.4) (Group X secretory phospholipase A2) (GX sPLA2) (sPLA2-X) (Phosphatidylcholine 2-acylhydrolase 10),PLA2G10,165,O15496_F1,AFDB,371.1.1,371.1.1.1,3557005,46-165
alpha arrays,"Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain",G-alpha,O15743,nD2,4.3.1.27,Dictyostelium discoideum (Social amoeba),Protein spalten [Includes: Probable guanine nucleotide-binding protein spalten; Protein serine/threonine phosphatase spalten (EC 3.1.3.16)],spnA spn DDB_G0276155,975,O15743_F1,AFDB,135.1.1,135.1.1.1,3256252,146-265
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,"Metallophos,STPPase_N",O15757,nD1,4.3.1.27,Dictyostelium discoideum (Social amoeba),Serine/threonine-protein phosphatase PP1 (EC 3.1.3.16) (DdPP1c),pppB DDB_G0275619,321,O15757_F1,AFDB,246.2.1,246.2.1.4,3249010,6-295
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Class I glutamine amidotransferase-like,DJ-1_PfpI,O16228,nD1,4.3.1.27,Caenorhabditis elegans,Glutathione-independent glyoxalase DJR-1.2 (EC 4.2.1.130) (Protein DJ-1 homolog 2),djr-1.2 C49G7.11,186,O16228_F1,AFDB,2007.1.1,2007.1.1.3,3225921,6-185
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,O16284,nD1,4.3.1.27,Caenorhabditis elegans,Cysteine synthase (EC 2.5.1.47),cysl-4 CELE_F59A7.9 F59A7.9,337,O16284_F1,AFDB,2003.4.1,2003.4.1.1,3220423,6-155
beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,PMI_typeI_cat,O16315,nD1,4.3.1.27,Caenorhabditis elegans,mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase),C05C8.7 CELE_C05C8.7,467,O16315_F1,AFDB,10.12.1,10.12.1.62,3242635,"1-145,256-325"
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydro_lipase,O16956,nD1,4.3.1.27,Caenorhabditis elegans,Lipase lipl-3 (EC 3.1.1.-) (Lipase-like 3),lipl-3 R11G11.14,404,O16956_F1,AFDB,7579.1.1,7579.1.1.75,3229790,26-404
alpha bundles,Four-helical up-and-down bundle,"Histidine-containing phosphotransfer domain, HPT domain","Histidine-containing phosphotransfer domain, HPT domain",,O17040,nD1,4.3.1.27,Caenorhabditis elegans,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8 (EC 4.2.1.134) (Probable 3-hydroxyacyl-CoA dehydratase),hpo-8 T15B7.2,218,O17040_F1,AFDB,601.3.1,NO_F_GROUP,3242500,1-210
alpha arrays,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,Lyase_1,O17214,nD1,4.3.1.27,Caenorhabditis elegans,"Probable fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)",fum-1 H14A12.2,501,O17214_F1,AFDB,4952.1.1,4952.1.1.1,3223756,41-175
alpha arrays,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,Lyase_1,O17214,nD1,4.3.1.27,Caenorhabditis elegans,"Probable fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)",fum-1 H14A12.2,501,O17214_F1,AFDB,4952.1.1,4952.1.1.1,3223756,41-175
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Arginase/deacetylase,Hist_deacetyl,O17323,nD2,4.3.1.27,Caenorhabditis elegans,Histone deacetylase 4 (EC 3.5.1.98) (CeHDA-7) (Histone deacetylase 7),hda-4 hda-7 C10E2.3,869,O17323_F1,AFDB,2006.1.5,2006.1.5.2,3229773,451-865
a/b three-layered sandwiches,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Iso_dh,O17643,nD1,4.3.1.27,Caenorhabditis elegans,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),idh-2 C34F6.8 CELE_C34F6.8,435,O17643_F1,AFDB,7510.1.1,7510.1.1.1,3228920,131-310
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,,O17670,nD1,4.3.1.27,Caenorhabditis elegans,Eyes absent homolog 1 (EC 3.1.3.48),eya-1 C49A1.4,503,O17670_F1,AFDB,2006.1.1,NO_F_GROUP,3236198,226-503
a+b two layers,Alpha-lytic protease prodomain-like,S-adenosylmethionine synthetase,S-adenosylmethionine synthetase,,O17680,nD1,4.3.1.27,Caenorhabditis elegans,Probable S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1),sams-1 C49F5.1,403,O17680_F1,AFDB,327.17.1,NO_F_GROUP,3222696,11-125
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Arginase/deacetylase,Hist_deacetyl,O17695,nD1,4.3.1.27,Caenorhabditis elegans,Histone deacetylase 1 (EC 3.5.1.98),hda-1 C53A5.3,461,O17695_F1,AFDB,2006.1.5,2006.1.5.2,3226044,11-375
a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NagB/RpiA/CoA transferase-like,Glucosamine_iso,O18229,nD1,4.3.1.27,Caenorhabditis elegans,Putative 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Y57G11C.3,269,O18229_F1,AFDB,2003.1.7,2003.1.7.4,3241008,6-255
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase,O18408,nD1,4.3.1.27,Drosophila melanogaster (Fruit fly),Alpha-amylase-related protein (EC 3.2.1.1),Amyrel CG8221,493,O18408_F1,AFDB,2002.1.1,2002.1.1.4,3398962,21-400
alpha bundles,Terpenoid synthases,Terpenoid synthases,Terpenoid synthases,polyprenyl_synt,O22043,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Geranylgeranyl pyrophosphate synthase 6, mitochondrial (GGPP synthase 6) (GGPS6) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase 6) (Dimethylallyltranstransferase 6) (EC 2.5.1.1) (Farnesyl diphosphate synthase 6) (Farnesyltranstransferase 6) (EC 2.5.1.29) (Geranyltranstransferase 6) (EC 2.5.1.10)",GGPP6 At1g49530 F13F21.3,336,O22043_F1,AFDB,141.1.1,141.1.1.1,3811327,26-335
a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,Epimerase,O22141,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),UDP-glucuronate 4-epimerase 4 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 4) (AtUGlcAE1),GAE4 UGlcAE1 At2g45310 F4L23,437,O22141_F1,AFDB,2003.1.1,2003.1.1.20,3807293,76-430
a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,PDT,O22241,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Arogenate dehydratase 4, chloroplastic (AtADT4) (EC 4.2.1.91)",ADT4 At3g44720 T32N15.11,424,O22241_F1,AFDB,7523.1.1,7523.1.1.5,3821847,"126-205,296-305"
alpha bundles,Bromodomain-like,Plant invertase/pectin methylesterase inhibitor,Plant invertase/pectin methylesterase inhibitor,PMEI,O22256,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Probable pectinesterase/pectinesterase inhibitor 20 [Includes: Pectinesterase inhibitor 20 (Pectin methylesterase inhibitor 20); Pectinesterase 20 (PE 20) (EC 3.1.1.11) (Pectin methylesterase 20) (AtPME20)],PME20 ARATH20 At2g47550 T30B22.15,560,O22256_F1,AFDB,633.4.1,633.4.1.1,3803461,36-185
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Arginase/deacetylase,Hist_deacetyl,O22446,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Histone deacetylase 19 (AtHD1) (HD) (EC 3.5.1.98),HDA19 HD1 HDA1 RPD3A At4g38130 F20D10.250,501,O22446_F1,AFDB,2006.1.5,2006.1.5.2,3805585,16-380
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,,O22527,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Chlorophyllase-1 (AtCLH1) (EC 3.1.1.14) (Chlorophyll-chlorophyllido hydrolase 1) (Chlase 1) (Coronatine-induced protein 1) (CORI1),CLH1 ATHCOR1 COR1 At1g19670 F6F9.28,324,O22527_F1,AFDB,7579.1.1,NO_F_GROUP,3814526,16-315
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,O22682,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic (EC 2.5.1.144) (AtCS26) (Beta-substituted Ala synthase 5;1) (ARAth-Bsas5;1) (O-acetylserine sulfhydrylase)",CS26 At3g03630 T12J13.9,404,O22682_F1,AFDB,2003.4.1,2003.4.1.1,3803148,91-250
alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",,O22683,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),CYN At3g23490 MEE5.3,168,O22683_F1,AFDB,101.1.4,NO_F_GROUP,3810388,1-80
alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",,O22683,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),CYN At3g23490 MEE5.3,168,O22683_F1,AFDB,101.1.4,NO_F_GROUP,3810388,1-80
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Trp_syntA,O22765,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Tryptophan synthase alpha chain (EC 4.2.1.20) (Indole synthase) (Indole-3-glycerol-phosphate lyase) (EC 4.1.2.8),TRPA1 INS TSA At4g02610 T10P11.11,275,O22765_F1,AFDB,2002.1.1,2002.1.1.15,3803342,1-275
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Trp_syntA,O22765,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Tryptophan synthase alpha chain (EC 4.2.1.20) (Indole synthase) (Indole-3-glycerol-phosphate lyase) (EC 4.1.2.8),TRPA1 INS TSA At4g02610 T10P11.11,275,O22765_F1,AFDB,2002.1.1,2002.1.1.15,3803342,1-275
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,URO-D,O22886,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Uroporphyrinogen decarboxylase 2, chloroplastic (UPD2) (URO-D2) (EC 4.1.1.37)",HEME2 At2g40490 T2P4.16,394,O22886_F1,AFDB,2002.1.1,2002.1.1.57,3804287,51-394
a/b three-layered sandwiches,Flavodoxin-like,SGNH hydrolase,SGNH hydrolase,Lipase_GDSL,O22918,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),GDSL esterase/lipase At2g30220 (EC 3.1.1.-) (Extracellular lipase At2g30220),At2g30220 T9D9.3,358,O22918_F1,AFDB,2007.5.1,2007.5.1.1,3802690,26-358
a/b three-layered sandwiches,Flavodoxin-like,SGNH hydrolase,SGNH hydrolase,Lipase_GDSL,O22927,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),GDSL esterase/lipase At2g30310 (EC 3.1.1.-) (Extracellular lipase At2g30310),At2g30310 T9D9.12,359,O22927_F1,AFDB,2007.5.1,2007.5.1.1,3811171,26-359
a+b complex topology,Cysteine proteinases-like,Cysteine proteinases,Cysteine proteinases,Nt_Gln_amidase,O22944,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase),NTAQ1 At2g41760 T11A7.14,221,O22944_F1,AFDB,219.1.1,219.1.1.47,3823753,6-220
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_1,O22977,nD2,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Probable lysophospholipase BODYGUARD 3 (AtBDG3) (EC 3.1.1.-),BDG3 At4g24140 T19F6.6,498,O22977_F1,AFDB,7579.1.1,7579.1.1.6,3813735,"1-45,181-495"
beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,Pectinesterase,O23038,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Probable pectinesterase 8 (PE 8) (EC 3.1.1.11) (Pectin methylesterase 2) (AtPME2) (Pectin methylesterase 8) (AtPME8),PME8 ARATH2 At1g05310 YUP8H12.7,393,O23038_F1,AFDB,207.2.1,207.2.1.4,3807324,71-390
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Orn_Arg_deC_N,O23141,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290,711,O23141_F1,AFDB,2002.1.1,2002.1.1.101,3818149,111-395
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_6,O23171,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Methylesterase 9 (AtMES9) (EC 3.1.1.-),MES9 At4g37150 AP22.78 C7A10.210,256,O23171_F1,AFDB,7579.1.1,7579.1.1.44,3809510,1-255
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,FabD/lysophospholipase-like,Patatin,O23179,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Patatin-like protein 1 (AtPLP1) (EC 3.1.1.-) (Patatin-related phospholipase A IIgamma) (pPLAIIg) (Phospholipase A IVA) (AtPLAIVA),PLP1 At4g37070 AP22.83 C7A10.290,414,O23179_F1,AFDB,2007.1.19,2007.1.19.2,3817339,11-400
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,FabD/lysophospholipase-like,Patatin,O23180,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Patatin-like protein 5 (AtPLP5) (EC 3.1.1.-) (Patatin-related phospholipase A IIdelta) (pPLAIId) (Phospholipase A IVB) (AtPLAIVB),PLP5 At4g37060 AP22.93 C7A10.300,414,O23180_F1,AFDB,2007.1.19,2007.1.19.2,3821460,11-400
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,FabD/lysophospholipase-like,Patatin,O23181,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Patatin-like protein 3 (AtPLP3) (EC 3.1.1.-) (Patatin-related phospholipase A IIbeta) (pPLAIIb) (Phospholipase A IVC) (AtPLAIVC),PLP3 At4g37050 AP22.16 C7A10.310,428,O23181_F1,AFDB,2007.1.19,2007.1.19.2,3832058,21-420
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Pur_ac_phosph_N,O23244,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Purple acid phosphatase 25 (EC 3.1.3.2),PAP25 AT7 ATH2 At4g36350 C7A10.1010 F23E13.190,466,O23244_F1,AFDB,11.1.1,11.1.1.214,3815975,41-150
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Pur_ac_phosph_N,O23244,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Purple acid phosphatase 25 (EC 3.1.3.2),PAP25 AT7 ATH2 At4g36350 C7A10.1010 F23E13.190,466,O23244_F1,AFDB,11.1.1,11.1.1.214,3815975,41-150
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,O23299,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Enoyl-CoA delta isomerase 2, peroxisomal (EC 5.3.3.8) (Delta(3),Delta(2)-enoyl CoA isomerase 2) (AtECI2) (Indole-3-butyric acid response 10)",ECI2 IBR10 At4g14430 dl3255c,240,O23299_F1,AFDB,2486.1.1,2486.1.1.1,3804592,1-235
